ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762484274.6289117,1,2,8475870,8515124,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484274.6289117,1,3,8509262,8464690,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,3,1,8677288,8723070,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,3,2,8740848,8659298,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,2,1,51800,17339998,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,2,2,8728712,8689226,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,2,3,8659298,8740848,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,1,1,31726,17356428,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,1,2,8689226,8728712,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484275.6294162,1,3,8723070,8677288,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,3,1,8677288,8723070,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,3,2,8740848,8659298,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,2,1,51800,17339998,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,2,2,8728712,8689226,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,2,3,8659298,8740848,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,1,1,31726,17356428,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,1,2,8689226,8728712,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484276.6288028,1,3,8723070,8677288,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,3,1,8888990,8934678,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,3,2,8953052,8870608,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,2,1,52512,17762336,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,2,2,8940590,8900744,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,2,3,8870608,8953052,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,1,1,32180,17779156,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,1,2,8900744,8940590,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484277.629443,1,3,8934678,8888990,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,3,1,8888990,8934678,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,3,2,8953052,8870608,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,2,1,52512,17762336,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,2,2,8940590,8900744,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,2,3,8870608,8953052,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,1,1,32180,17779156,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,1,2,8900744,8940590,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484278.6289525,1,3,8934678,8888990,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,3,1,9106864,9153024,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,3,2,9172248,9088178,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,2,1,53224,18197816,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,2,2,9159636,9119110,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,2,3,9088178,9172248,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,1,1,32634,18215526,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,1,2,9119110,9159636,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484279.6289005,1,3,9153024,9106864,0,0,0,0,0,0,0.0,0.0,0.0,0.0
