ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762799499.495054,2,2,43680,43482,3747096,3729830,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,2,3,43269,43881,3711156,3764698,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,3,1,43505,43653,3731390,3745148,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,3,2,43881,43269,3764698,3711156,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,1,1,319,86651,27826,7434488,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,1,2,43482,43680,3729830,3747096,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799499.495054,1,3,43653,43505,3745148,3731390,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,2,1,372,91835,32804,7877644,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,2,2,46267,46066,3968638,3951048,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,2,3,45846,46474,3931810,3986784,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,3,1,46086,46240,3952400,3966658,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,3,2,46474,45846,3986784,3931810,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,1,1,329,91811,28710,7876398,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,1,2,46066,46267,3951048,3968638,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799500.4950604,1,3,46240,46086,3966658,3952400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,2,1,372,91835,32804,7877644,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,2,2,46267,46066,3968638,3951048,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
