ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762799529.619786,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,1,2,82397,82724,7063616,7091930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,1,3,82660,82444,7087040,7067054,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,3,1,82444,82660,7067054,7087040,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,3,2,82974,82138,7113942,7040752,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,2,2,85334,84991,7315468,7285856,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,2,3,84735,85578,7263292,7337094,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,1,2,84991,85334,7285856,7315468,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,1,3,85279,85047,7311352,7290104,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,3,1,85047,85279,7290104,7311352,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799530.619802,3,2,85578,84735,7337094,7263292,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,2,2,85334,84991,7315468,7285856,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,2,3,84735,85578,7263292,7337094,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,1,2,84991,85334,7285856,7315468,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,1,3,85279,85047,7311352,7290104,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,3,1,85047,85279,7290104,7311352,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799531.619782,3,2,85578,84735,7337094,7263292,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,2,2,87924,87583,7537292,7507896,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,2,3,87318,88169,7484542,7558966,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,1,2,87583,87924,7507896,7537292,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,1,3,87868,87630,7533166,7511272,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,3,1,87630,87868,7511272,7533166,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799532.619773,3,2,88169,87318,7558966,7484542,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,2,2,87924,87583,7537292,7507896,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,2,3,87318,88169,7484542,7558966,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,1,2,87583,87924,7507896,7537292,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,1,3,87868,87630,7533166,7511272,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,3,1,87630,87868,7511272,7533166,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799533.6197915,3,2,88169,87318,7558966,7484542,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,2,2,90522,90172,7759856,7729662,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,2,3,89906,90769,7706186,7781618,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,1,2,90172,90522,7729662,7759856,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,1,3,90465,90219,7755644,7733026,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,3,1,90219,90465,7733026,7755644,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799534.6197948,3,2,90769,89906,7781618,7706186,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,2,2,90522,90172,7759856,7729662,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,2,3,89906,90769,7706186,7781618,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,1,2,90172,90522,7729662,7759856,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,1,3,90465,90219,7755644,7733026,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,3,1,90219,90465,7733026,7755644,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799535.6197944,3,2,90769,89906,7781618,7706186,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,2,2,93149,92790,7984850,7953802,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,2,3,92530,93398,7930894,8006800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,1,2,92790,93149,7953802,7984850,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,1,3,93090,92846,7980350,7958044,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,3,1,92846,93090,7958044,7980350,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799536.6196861,3,2,93398,92530,8006800,7930894,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,2,2,93149,92790,7984850,7953802,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,2,3,92530,93398,7930894,8006800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,1,2,92790,93149,7953802,7984850,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,1,3,93090,92846,7980350,7958044,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,3,1,92846,93090,7958044,7980350,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799537.6197689,3,2,93398,92530,8006800,7930894,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799538.6197772,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799538.6197772,2,2,95773,95400,8209440,8177368,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799538.6197772,2,3,95135,96023,8154010,8231622,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
